,0,1,2,3,4,5
131,2128,560,2352,784,0.101,1002
132,2128,2240,2352,2464,0.104,1002
133,2240,1904,2464,2128,0.102,1002
134,2352,3024,2576,3248,0.101,1002
135,2464,112,2688,336,0.103,1002
136,2464,672,2688,784,0.103,1002
137,2464,1008,2688,1232,0.105,1002
138,2576,2800,2800,3024,0.102,1002
139,2912,1008,3136,1120,0.101,1002
140,3136,1568,3360,1792,0.104,1002
141,3136,2912,3360,3136,0.105,1002
142,3248,336,3472,560,0.104,1002
143,3248,1456,3472,1680,0.101,1002
144,3360,896,3584,1120,0.102,1002
145,3360,1232,3584,1456,0.104,1002
146,3360,1904,3584,2128,0.104,1002
147,3472,2800,3696,3024,0.103,1002
148,3584,336,3808,560,0.101,1002
149,3696,1232,3920,1456,0.105,1002
150,3696,3136,3920,3360,0.103,1002
151,3808,0,4032,224,0.104,1002
152,3808,336,4032,560,0.103,1002
153,3808,896,4032,1120,0.103,1002
154,4032,224,4256,448,0.105,1002
155,4032,1456,4256,1568,0.104,1002
156,4144,1568,4368,1792,0.105,1002
157,4144,2128,4368,2352,0.105,1002
158,4368,2912,4480,3136,0.103,1002
159,4368,1120,4592,1344,0.104,1002
160,4480,2912,4592,3136,0.103,1002
161,0,2576,224,2800,0.102,1003
162,224,1232,336,1456,0.10200000000000001,1003
163,224,336,448,560,0.104,1003
164,448,1456,672,1680,0.101,1003
165,560,2576,672,2800,0.1035,1003
166,672,2016,896,2240,0.102,1003
167,896,112,1120,336,0.105,1003
168,896,2688,1120,2912,0.104,1003
169,1008,1792,1232,2016,0.105,1003
170,1120,1344,1344,1456,0.1045,1003
171,1120,2912,1344,3136,0.102,1003
172,1232,112,1456,336,0.105,1003
173,1344,1792,1568,2016,0.102,1003
174,1568,224,1792,448,0.103,1003
175,1568,2464,1792,2688,0.105,1003
176,1680,1344,1904,1568,0.104,1003
177,1680,1904,1904,2128,0.102,1003
178,1792,448,2016,672,0.103,1003
179,1792,2128,2016,2352,0.104,1003
180,2016,1456,2240,1680,0.105,1003
181,2240,224,2464,448,0.102,1003
182,2240,896,2464,1120,0.105,1003
183,2352,448,2576,672,0.103,1003
184,2352,2800,2576,3024,0.102,1003
185,2688,1568,2800,1792,0.10250000000000001,1003
186,2688,784,2912,1008,0.101,1003
187,2688,2128,2912,2352,0.102,1003
188,2800,0,3024,224,0.105,1003
189,2800,336,3024,560,0.104,1003
190,2800,1008,3024,1120,0.101,1003
191,2912,2800,3136,3024,0.105,1003
192,2912,3024,3136,3248,0.104,1003
193,3024,336,3248,560,0.103,1003
194,3024,672,3248,896,0.102,1003
195,3136,784,3360,1008,0.104,1003
196,3136,1120,3360,1344,0.104,1003
197,3360,2352,3584,2576,0.103,1003
198,3584,896,3808,1120,0.104,1003
199,3584,2352,3808,2576,0.103,1003
200,3584,2688,3808,2912,0.103,1003
201,3696,1344,3920,1568,0.101,1003
202,3696,1680,3920,1904,0.101,1003
203,3696,2800,3920,3024,0.105,1003
204,3808,560,4032,784,0.104,1003
205,3808,896,4032,1120,0.105,1003
206,3808,1120,4032,1344,0.104,1003
207,4032,0,4256,224,0.103,1003
208,4032,336,4256,560,0.104,1003
209,4032,1904,4256,2128,0.105,1003
210,4032,2352,4256,2576,0.103,1003
211,4144,1568,4368,1792,0.102,1003
212,4144,2240,4368,2464,0.105,1003
213,4368,2016,4480,2240,0.10300000000000001,1003
214,4256,2688,4480,2912,0.103,1003
215,4368,1120,4592,1344,0.101,1003
216,4480,2016,4592,2240,0.10300000000000001,1003
217,224,2800,336,3024,0.10250000000000001,1004
218,224,672,448,896,0.105,1004
219,336,2912,560,3136,0.105,1004
220,448,336,672,560,0.101,1004
221,448,2128,672,2352,0.101,1004
222,560,224,784,448,0.102,1004
223,672,2576,896,2800,0.101,1004
224,784,672,1008,896,0.105,1004
225,784,896,1008,1120,0.101,1004
226,1008,784,1232,1008,0.105,1004
227,1008,3024,1232,3248,0.105,1004
228,1120,112,1344,336,0.102,1004
229,1232,224,1456,448,0.105,1004
230,1344,112,1568,336,0.103,1004
231,1344,1120,1568,1344,0.105,1004
232,1344,2800,1568,3024,0.104,1004
233,1456,448,1680,672,0.103,1004
234,1456,784,1680,1008,0.103,1004
235,1456,1344,1680,1568,0.102,1004
236,1456,1568,1680,1792,0.105,1004
237,1568,336,1792,560,0.104,1004
238,1568,1120,1792,1344,0.101,1004
239,1680,1008,1904,1232,0.102,1004
240,1904,896,2016,1120,0.104,1004
241,1904,1680,2128,1904,0.101,1004
242,2016,3136,2240,3360,0.103,1004
243,2352,784,2464,1008,0.1035,1004
244,2240,2352,2464,2576,0.101,1004
245,2352,2016,2576,2240,0.103,1004
246,2464,2912,2688,3136,0.102,1004
247,2576,560,2800,784,0.104,1004
248,2688,1904,2912,2128,0.101,1004
249,2800,1008,3024,1232,0.105,1004
250,2800,2352,3024,2576,0.101,1004
251,3024,336,3248,560,0.105,1004
252,3024,1344,3248,1568,0.101,1004
253,3024,1680,3248,1904,0.101,1004
254,3024,2240,3248,2464,0.102,1004
255,3248,224,3472,448,0.102,1004
256,3360,112,3584,336,0.104,1004
257,3360,3024,3584,3248,0.105,1004
258,3584,448,3808,672,0.103,1004
259,3584,1568,3808,1792,0.105,1004
260,3584,1792,3808,2016,0.104,1004
261,3696,560,3920,784,0.102,1004
262,3808,1120,4032,1344,0.102,1004
263,3808,1568,4032,1792,0.104,1004
264,3920,0,4144,224,0.101,1004
265,3920,1792,4144,2016,0.105,1004
266,4032,1008,4256,1232,0.102,1004
267,4256,2352,4368,2576,0.1015,1004
268,4144,2800,4368,2912,0.102,1004
269,4368,448,4592,672,0.101,1004
270,4368,672,4592,896,0.102,1004
271,4368,1120,4592,1344,0.103,1004
272,0,448,224,672,0.101,1005
273,0,1792,224,2016,0.102,1005
274,112,1120,336,1344,0.101,1005
275,112,1904,336,2128,0.104,1005
276,224,2576,448,2800,0.102,1005
277,336,784,560,1008,0.102,1005
278,336,3136,560,3360,0.101,1005
279,560,2688,784,2912,0.102,1005
280,784,112,1008,336,0.101,1005
281,896,2016,1120,2240,0.105,1005
282,1120,112,1344,336,0.103,1005
283,1120,448,1344,672,0.103,1005
284,1120,2128,1344,2352,0.103,1005
285,1232,2912,1456,3136,0.105,1005
286,1568,1008,1792,1232,0.104,1005
287,1568,2464,1792,2688,0.105,1005
288,1680,1568,1904,1792,0.104,1005
289,1904,1232,2128,1456,0.104,1005
290,1904,1904,2128,2128,0.104,1005
291,1904,3024,2128,3248,0.103,1005
292,2128,448,2352,672,0.102,1005
293,2128,1904,2352,2128,0.104,1005
294,2240,1680,2464,1904,0.103,1005
295,2240,2352,2464,2576,0.103,1005
296,2352,1120,2576,1344,0.102,1005
297,2352,2016,2576,2240,0.103,1005
298,2464,1792,2688,2016,0.101,1005
299,2576,0,2800,224,0.105,1005
300,2688,1008,2912,1232,0.105,1005
301,2800,448,3024,672,0.101,1005
302,2800,1568,3024,1792,0.102,1005
303,2800,2240,3024,2464,0.105,1005
304,2800,3136,3024,3360,0.103,1005
305,3024,896,3248,1120,0.102,1005
306,3136,336,3360,560,0.103,1005
307,3472,1904,3584,2128,0.1035,1005
308,3360,2128,3584,2352,0.105,1005
309,3584,448,3808,672,0.103,1005
310,3584,896,3808,1120,0.105,1005
311,3584,1344,3808,1568,0.101,1005
312,3696,1792,3920,2016,0.103,1005
313,3808,1680,4032,1904,0.101,1005
314,3920,448,4144,672,0.101,1005
315,3920,1456,4144,1680,0.103,1005
316,4032,2240,4256,2464,0.103,1005
317,4144,896,4368,1008,0.1045,1005
318,4368,0,4592,224,0.101,1005
319,0,336,224,560,0.103,1006
320,0,896,224,1120,0.105,1006
321,0,2128,224,2352,0.103,1006
322,112,224,336,448,0.102,1006
323,112,1120,336,1344,0.105,1006
324,336,1008,560,1232,0.105,1006
325,448,672,672,896,0.104,1006
326,448,1456,672,1680,0.104,1006
327,560,1120,784,1344,0.102,1006
328,672,560,896,784,0.102,1006
329,896,1344,1120,1568,0.104,1006
330,896,1568,1120,1792,0.104,1006
331,1008,448,1232,672,0.104,1006
332,1008,2240,1232,2464,0.105,1006
333,1120,2352,1344,2576,0.103,1006
334,1232,224,1456,448,0.103,1006
335,1232,1792,1456,2016,0.103,1006
336,1344,784,1568,1008,0.105,1006
337,1344,1680,1568,1904,0.102,1006
338,1456,0,1680,224,0.103,1006
339,1568,224,1792,448,0.101,1006
340,1568,1232,1792,1456,0.105,1006
341,1568,1568,1792,1792,0.101,1006
342,1568,2240,1792,2464,0.102,1006
343,1680,672,1904,896,0.104,1006
344,1680,2352,1904,2576,0.103,1006
345,1792,2464,2016,2688,0.105,1006
346,2128,224,2240,448,0.1035,1006
347,2016,448,2240,672,0.102,1006
348,2016,896,2240,1120,0.102,1006
349,2016,2352,2240,2576,0.102,1006
350,2128,2464,2352,2688,0.104,1006
351,2240,784,2464,1008,0.103,1006
352,2240,2912,2464,3024,0.102,1006
353,2352,448,2576,672,0.101,1006
354,2464,1120,2688,1344,0.102,1006
355,2464,1680,2688,1904,0.103,1006
356,2464,2128,2688,2352,0.105,1006
357,2576,1456,2800,1680,0.104,1006
358,2576,1904,2800,2128,0.101,1006
359,2688,1232,2912,1456,0.104,1006
360,2688,2352,2912,2576,0.105,1006
361,2800,1344,3024,1568,0.101,1006
362,2912,336,3136,560,0.103,1006
363,2912,1008,3136,1232,0.101,1006
364,2912,2128,3136,2240,0.102,1006
365,2912,2688,3136,2912,0.105,1006
366,3024,2352,3248,2576,0.102,1006
367,3024,3024,3248,3248,0.105,1006
368,3136,784,3360,1008,0.105,1006
369,3136,2464,3360,2688,0.104,1006
370,3248,112,3472,336,0.105,1006
371,3248,672,3472,896,0.105,1006
372,3248,896,3472,1120,0.105,1006
373,3360,0,3584,224,0.101,1006
374,3360,224,3584,448,0.101,1006
375,3472,2912,3696,3136,0.105,1006
376,3808,336,3920,560,0.105,1006
377,3696,1344,3920,1568,0.103,1006
378,3696,2240,3920,2464,0.105,1006
379,3920,672,4144,896,0.101,1006
380,3920,1344,4144,1568,0.102,1006
381,4032,112,4256,336,0.104,1006
382,4032,2576,4256,2800,0.104,1006
383,4144,3024,4368,3248,0.101,1006
384,4368,448,4592,672,0.103,1006
385,4368,1232,4592,1456,0.104,1006
386,4368,2688,4592,2912,0.102,1006
387,112,784,336,1008,0.102,1007
388,112,1344,336,1568,0.103,1007
389,224,448,448,672,0.104,1007
390,224,2240,448,2464,0.103,1007
391,224,2576,448,2800,0.101,1007
392,336,1568,560,1680,0.104,1007
393,336,2016,560,2240,0.104,1007
394,784,560,1008,784,0.102,1007
395,784,2464,1008,2688,0.105,1007
396,1008,336,1232,560,0.101,1007
397,1008,1008,1232,1232,0.102,1007
398,1120,2240,1344,2464,0.105,1007
399,1120,2464,1344,2688,0.104,1007
400,1344,3024,1456,3248,0.103,1007
401,1344,1568,1568,1792,0.103,1007
402,1456,896,1680,1120,0.104,1007
403,1456,1456,1680,1568,0.101,1007
404,1456,1680,1680,1904,0.104,1007
405,1568,2576,1792,2800,0.104,1007
406,1680,224,1904,448,0.102,1007
407,1792,2912,2016,3136,0.104,1007
408,2016,2352,2240,2576,0.104,1007
409,2016,2800,2240,3024,0.105,1007
410,2128,1232,2352,1456,0.105,1007
411,2352,896,2576,1120,0.101,1007
412,2352,1232,2576,1456,0.101,1007
413,2576,1232,2800,1456,0.105,1007
414,2576,1680,2800,1904,0.104,1007
415,2576,2128,2800,2352,0.102,1007
416,2576,2688,2800,2912,0.101,1007
417,2688,448,2912,672,0.105,1007
418,2688,1456,2912,1680,0.104,1007
419,2800,3024,3024,3248,0.105,1007
420,3136,2912,3360,3136,0.105,1007
421,3248,1456,3472,1680,0.101,1007
422,3360,2128,3584,2352,0.101,1007
423,3472,2912,3696,3136,0.104,1007
424,3584,1792,3808,2016,0.105,1007
425,3584,2688,3808,2912,0.104,1007
426,3696,3136,3920,3360,0.101,1007
427,3920,2464,4144,2688,0.101,1007
428,4032,672,4256,896,0.101,1007
429,4144,2688,4368,2912,0.101,1007
430,4368,448,4592,672,0.103,1007
431,0,1232,224,1344,0.104,1008
432,112,224,336,448,0.104,1008
433,112,1456,336,1680,0.102,1008
434,336,3024,560,3248,0.101,1008
435,448,896,672,1120,0.101,1008
436,672,560,896,784,0.102,1008
437,784,896,1008,1120,0.104,1008
438,784,1904,1008,2128,0.101,1008
439,896,1680,1120,1904,0.103,1008
440,1008,672,1232,896,0.102,1008
441,1008,1232,1232,1456,0.102,1008
442,1008,2016,1232,2240,0.103,1008
443,1232,560,1456,784,0.101,1008
444,1232,1120,1456,1344,0.103,1008
445,1568,448,1680,672,0.101,1008
446,1456,896,1680,1120,0.105,1008
447,1568,1568,1680,1792,0.102,1008
448,1456,2016,1680,2240,0.101,1008
449,1568,1120,1792,1344,0.102,1008
450,1568,3024,1792,3248,0.104,1008
451,1680,1008,1904,1232,0.104,1008
452,1792,336,2016,560,0.102,1008
453,1792,672,2016,896,0.104,1008
454,1792,896,2016,1120,0.105,1008
455,2128,896,2240,1120,0.1035,1008
456,2240,2128,2352,2352,0.10250000000000001,1008
457,2128,2576,2352,2800,0.102,1008
458,2464,1120,2576,1344,0.103,1008
459,2352,1344,2576,1568,0.105,1008
460,2576,0,2800,224,0.104,1008
461,2576,2240,2800,2464,0.101,1008
462,2800,1008,2912,1232,0.1045,1008
463,2688,3024,2912,3248,0.102,1008
464,2912,2128,3136,2352,0.105,1008
465,3248,3024,3360,3248,0.1035,1008
466,3248,112,3472,336,0.105,1008
467,3248,3248,3472,3360,0.105,1008
468,3472,336,3696,560,0.105,1008
469,3472,896,3696,1120,0.105,1008
470,3584,2800,3696,3024,0.1025,1008
471,3584,1344,3808,1568,0.101,1008
472,3696,448,3920,672,0.104,1008
473,3696,1680,3920,1904,0.102,1008
474,3920,0,4144,224,0.101,1008
475,3920,448,4144,672,0.105,1008
476,3920,1008,4144,1232,0.101,1008
477,3920,2464,4144,2688,0.105,1008
478,4032,2912,4144,3136,0.10200000000000001,1008
479,4032,112,4256,336,0.101,1008
480,4032,560,4256,784,0.101,1008
481,4144,0,4368,224,0.101,1008
482,4256,2016,4480,2240,0.103,1008
483,4368,224,4592,448,0.103,1008
484,0,1456,224,1680,0.104,1009
485,0,2240,224,2464,0.105,1009
486,224,1456,448,1680,0.102,1009
487,448,896,560,1120,0.1045,1009
488,336,1792,560,2016,0.101,1009
489,448,672,672,896,0.101,1009
490,560,1568,784,1792,0.101,1009
491,560,3136,784,3360,0.104,1009
492,896,2688,1120,2912,0.102,1009
493,1120,1680,1344,1904,0.105,1009
494,1120,3136,1344,3360,0.104,1009
495,1344,2576,1568,2800,0.103,1009
496,1456,896,1680,1120,0.105,1009
497,1456,3024,1680,3248,0.104,1009
498,1568,2464,1792,2688,0.105,1009
499,1680,224,1904,448,0.101,1009
500,1680,2800,1904,3024,0.105,1009
501,2128,448,2352,672,0.104,1009
502,2240,1904,2464,2128,0.104,1009
503,2240,2128,2464,2352,0.101,1009
504,2352,1344,2576,1568,0.101,1009
505,2352,2912,2576,3136,0.105,1009
506,2576,2128,2800,2240,0.101,1009
507,2800,336,3024,560,0.103,1009
508,2912,0,3136,224,0.105,1009
509,2912,2800,3136,3024,0.102,1009
510,2912,3024,3136,3248,0.101,1009
511,3136,2464,3360,2688,0.101,1009
512,3136,3136,3360,3360,0.102,1009
513,3248,784,3472,1008,0.101,1009
514,3248,1904,3472,2128,0.101,1009
515,3360,2912,3584,3136,0.104,1009
516,3584,1792,3696,2016,0.103,1009
517,3584,112,3808,336,0.105,1009
518,3584,1008,3808,1232,0.105,1009
519,3584,1680,3808,1792,0.1025,1009
520,3696,448,3920,672,0.101,1009
521,3808,2016,4032,2240,0.103,1009
522,4032,224,4256,448,0.103,1009
523,4032,1792,4256,2016,0.103,1009
524,4144,2352,4368,2576,0.104,1009
525,4256,112,4480,336,0.101,1009
526,4256,672,4480,896,0.102,1009
527,4256,1344,4480,1568,0.104,1009
528,4368,336,4592,560,0.102,1009
529,0,1904,224,2128,0.104,1010
530,112,672,336,896,0.101,1010
531,112,2912,336,3136,0.103,1010
532,336,2912,560,3136,0.103,1010
533,448,224,672,448,0.105,1010
534,448,2464,672,2688,0.102,1010
535,560,448,784,672,0.104,1010
536,560,896,784,1120,0.105,1010
537,560,1344,784,1568,0.101,1010
538,672,0,896,224,0.104,1010
539,672,1456,896,1680,0.102,1010
540,672,2352,896,2576,0.102,1010
541,784,560,1008,784,0.104,1010
542,784,1232,1008,1456,0.103,1010
543,1008,2688,1232,2912,0.104,1010
544,1120,560,1344,784,0.105,1010
545,1232,1120,1344,1344,0.104,1010
546,1120,1344,1344,1568,0.103,1010
547,1344,896,1568,1120,0.103,1010
548,1456,448,1680,672,0.101,1010
549,1456,1568,1680,1792,0.105,1010
550,1456,1792,1680,2016,0.102,1010
551,1456,2688,1680,2912,0.105,1010
552,1568,336,1792,560,0.101,1010
553,1568,560,1792,784,0.103,1010
554,1680,2688,1904,2912,0.104,1010
555,1792,1680,2016,1904,0.102,1010
556,1904,336,2128,560,0.103,1010
557,2016,1232,2240,1456,0.101,1010
558,2128,1344,2352,1568,0.102,1010
559,2240,448,2464,672,0.102,1010
560,2352,112,2576,336,0.102,1010
561,2576,224,2800,448,0.103,1010
562,2576,2240,2800,2464,0.102,1010
563,2688,336,2912,560,0.103,1010
564,2800,2912,3024,3136,0.105,1010
565,2912,1344,3136,1568,0.103,1010
566,2912,2800,3136,3024,0.103,1010
567,3024,2688,3248,2912,0.103,1010
568,3136,0,3360,224,0.103,1010
569,3136,224,3360,448,0.105,1010
570,3136,2800,3360,3024,0.103,1010
571,3248,672,3472,896,0.105,1010
572,3248,1008,3472,1232,0.105,1010
573,3248,1344,3472,1568,0.103,1010
574,3472,1680,3584,1904,0.103,1010
575,3472,0,3696,224,0.102,1010
576,3584,448,3808,672,0.105,1010
577,3808,2464,4032,2688,0.101,1010
578,3920,1232,4144,1456,0.102,1010
579,3920,2016,4144,2240,0.101,1010
580,3920,3136,4144,3360,0.103,1010
581,4032,112,4256,336,0.101,1010
582,4032,1120,4256,1232,0.102,1010
583,4144,1344,4256,1568,0.104,1010
584,4256,0,4480,224,0.104,1010
585,4256,560,4480,784,0.104,1010
586,4368,336,4592,560,0.105,1010
587,4368,2464,4592,2688,0.103,1010
588,0,0,224,224,0.103,1011
589,0,2128,224,2352,0.103,1011
590,224,672,448,896,0.101,1011
591,336,0,560,224,0.105,1011
592,336,1568,560,1792,0.105,1011
593,336,1904,560,2128,0.103,1011
594,448,2688,672,2912,0.102,1011
595,560,560,784,784,0.102,1011
596,672,1008,896,1232,0.102,1011
597,672,3024,896,3248,0.101,1011
598,784,896,1008,1120,0.102,1011
599,784,1120,1008,1344,0.103,1011
600,784,2912,1008,3136,0.105,1011
601,1008,1344,1120,1568,0.1015,1011
602,896,1680,1120,1904,0.101,1011
603,896,3024,1120,3248,0.103,1011
604,1008,0,1232,224,0.103,1011
605,1232,1904,1456,2128,0.102,1011
606,1232,3136,1456,3360,0.104,1011
607,1344,1792,1568,2016,0.102,1011
608,1344,2128,1568,2352,0.104,1011
609,1456,1568,1680,1680,0.10300000000000001,1011
610,1680,2464,1904,2688,0.103,1011
611,1904,224,2128,448,0.103,1011
612,1904,672,2128,896,0.103,1011
613,1904,2016,2128,2240,0.101,1011
614,2128,224,2352,448,0.104,1011
615,2128,1568,2352,1792,0.102,1011
616,2128,2352,2352,2576,0.104,1011
617,2128,2800,2352,3024,0.104,1011
618,2240,112,2464,336,0.101,1011
619,2240,560,2464,784,0.101,1011
620,2240,1008,2464,1232,0.104,1011
621,2240,2576,2464,2800,0.105,1011
622,2464,784,2688,1008,0.103,1011
623,2464,3136,2688,3360,0.103,1011
624,2688,1680,2912,1904,0.105,1011
625,2800,224,3024,448,0.104,1011
626,2912,0,3136,224,0.105,1011
627,2912,1456,3136,1680,0.105,1011
628,2912,2688,3136,2912,0.103,1011
629,3136,896,3360,1120,0.104,1011
630,3136,2576,3360,2800,0.105,1011
631,3136,2800,3360,3024,0.101,1011
632,3248,672,3472,896,0.102,1011
633,3360,1120,3584,1344,0.103,1011
634,3472,448,3696,672,0.105,1011
635,3472,1232,3696,1456,0.104,1011
636,3472,1680,3696,1904,0.103,1011
637,3584,784,3808,896,0.103,1011
638,3584,1792,3808,2016,0.104,1011
639,3696,2352,3808,2576,0.104,1011
640,3696,560,3920,784,0.103,1011
641,3696,1344,3920,1568,0.103,1011
642,3808,1904,4032,2128,0.104,1011
643,3920,1008,4144,1232,0.101,1011
644,4032,1680,4256,1904,0.103,1011
645,4032,2352,4256,2576,0.103,1011
646,4032,2800,4256,3024,0.102,1011
647,4144,560,4368,784,0.101,1011
648,4144,1344,4368,1568,0.104,1011
649,4256,448,4480,672,0.102,1011
650,4256,2576,4480,2800,0.104,1011
651,4256,2800,4480,3024,0.102,1011
652,4368,1680,4592,1904,0.105,1011
653,0,2464,224,2688,0.105,1012
654,112,2240,336,2464,0.101,1012
655,224,1008,448,1232,0.101,1012
656,224,2352,448,2576,0.102,1012
657,224,3136,448,3360,0.104,1012
658,336,2576,560,2800,0.102,1012
659,560,896,784,1120,0.101,1012
660,784,336,1008,560,0.102,1012
661,784,1568,1008,1792,0.101,1012
662,784,2128,1008,2352,0.103,1012
663,1008,0,1120,224,0.10300000000000001,1012
664,896,1456,1120,1680,0.104,1012
665,1008,2800,1232,3024,0.105,1012
666,1120,784,1344,896,0.10250000000000001,1012
667,1344,0,1568,224,0.105,1012
668,1344,672,1568,896,0.105,1012
669,1344,896,1568,1120,0.101,1012
670,1344,1680,1568,1904,0.105,1012
671,1344,2912,1568,3136,0.102,1012
672,1456,1120,1680,1344,0.101,1012
673,1568,2352,1792,2576,0.102,1012
674,1792,784,2016,1008,0.101,1012
675,1904,672,2128,896,0.105,1012
676,2016,1344,2240,1456,0.103,1012
677,2240,1792,2464,2016,0.102,1012
678,2240,2912,2464,3136,0.104,1012
679,2352,896,2576,1120,0.101,1012
680,2352,1344,2576,1568,0.101,1012
681,2576,1120,2800,1344,0.101,1012
682,2688,672,2912,896,0.105,1012
683,2688,1680,2912,1904,0.102,1012
684,2688,1904,2912,2128,0.103,1012
685,2688,2128,2912,2352,0.102,1012
686,2912,448,3024,672,0.105,1012
687,3024,112,3248,336,0.105,1012
688,3024,2352,3248,2576,0.102,1012
689,3248,3024,3472,3248,0.101,1012
690,3472,2576,3584,2800,0.103,1012
691,3472,224,3696,448,0.101,1012
